Hotel Name,City,Budget for 1 day and night (INR),Google Maps Rating
Inn Oasis,Delhi,5920,3.5
Palace Heaven,Mumbai,2629,3.4
Bistro Corner,Mumbai,6534,4.2
Cafe Terrace,Mumbai,6179,2.6
Palace Oasis,Mumbai,1602,4.6
Resort Delight,Mumbai,3185,3.9
Resort Paradise,Mumbai,1144,4.7
Royal Paradise,Mumbai,2256,4.5
Hotel Delight,Mumbai,3553,2.7
Bistro Terrace,Mumbai,1592,2.8
The Grill,Mumbai,3878,4.2
Plaza Grill,Chennai,5129,2.6
Lounge Corner,Chennai,4420,4.5
Cafe Delight,Chennai,4091,3.8
Garden Grill,Chennai,3289,3.0
Lounge Corner,Chennai,6839,4.2
Lounge Heaven,Chennai,4683,3.1
Hotel Oasis,Chennai,1211,2.8
Bistro Grill,Kolkata,5468,4.0
The Delight,Kolkata,2520,4.0
Resort Oasis,Kolkata,1851,3.4
Garden Terrace,Kolkata,6856,4.7
The Terrace,Kolkata,6632,3.4
Plaza Spice,Kolkata,5360,4.1
Inn Spice,Kolkata,3751,4.1
Cafe Hub,Bengaluru,1891,4.3
Palace Paradise,Bengaluru,6679,4.8
Cafe Delight,Bengaluru,5827,4.5
Garden Paradise,Bengaluru,5384,3.9
Palace Spice,Bengaluru,5376,4.9
Inn Grill,Bengaluru,1581,2.7
Royal Delight,Bengaluru,4545,4.1
Resort Paradise,Bengaluru,4352,3.7
Plaza Retreat,Hyderabad,6520,3.8
Hotel Heaven,Hyderabad,4528,4.5
Bistro Retreat,Hyderabad,2921,3.4
Lounge Heaven,Hyderabad,6320,4.2
Resort Paradise,Hyderabad,5967,4.3
Palace Terrace,Hyderabad,6357,4.7
Resort Spice,Hyderabad,3181,3.9
Hotel Grill,Hyderabad,1388,4.0
Plaza Hub,Hyderabad,3806,4.3
Hotel Retreat,Hyderabad,1747,3.8
The Hub,Pune,6509,4.1
Inn Spice,Pune,6172,4.6
Garden Terrace,Pune,6973,4.9
The Hub,Pune,2183,3.6
Inn Grill,Pune,5823,4.8
Plaza Spice,Pune,4911,3.7
Resort Heaven,Pune,5003,4.3
Cafe Paradise,Pune,4407,3.5
Inn Grill,Pune,1032,3.1
Plaza Spice,Pune,2845,4.7
Garden Oasis,Ahmedabad,3168,3.7
Cafe Grill,Ahmedabad,4070,2.6
Cafe Delight,Ahmedabad,5206,3.4
Plaza Spice,Ahmedabad,5937,3.1
Bistro Hub,Ahmedabad,5098,4.6
Bistro Corner,Ahmedabad,6663,4.2
Hotel Hub,Ahmedabad,6934,4.5
Garden Retreat,Ahmedabad,5178,4.8
Inn Oasis,Jaipur,2302,3.8
Palace Corner,Jaipur,4242,5.0
Lounge Grill,Jaipur,5097,4.2
Inn Hub,Jaipur,2956,3.6
Palace Grill,Jaipur,3664,2.7
Hotel Spice,Jaipur,4736,2.6
Royal Grill,Jaipur,888,3.1
Royal Delight,Lucknow,4943,3.3
Plaza Heaven,Lucknow,2178,3.8
Cafe Delight,Lucknow,5738,2.9
Garden Grill,Lucknow,4921,3.0
Resort Spice,Lucknow,2022,3.5
Bistro Spice,Lucknow,851,4.3
Resort Terrace,Delhi,2208,4.6
Cafe Retreat,Delhi,5623,3.9
The Corner,Delhi,6336,3.4
Resort Oasis,Delhi,3707,4.4
Garden Heaven,Delhi,1163,4.1
Palace Terrace,Delhi,6173,4.0
Palace Hub,Delhi,4157,3.3
Inn Grill,Delhi,6302,4.1
Inn Terrace,Delhi,5663,3.3
Royal Paradise,Delhi,5244,3.3
Royal Paradise,Mumbai,6222,2.9
Cafe Spice,Mumbai,5253,2.5
Inn Delight,Mumbai,2362,3.7
Hotel Corner,Mumbai,1999,2.9
Royal Spice,Mumbai,5560,3.8
Royal Oasis,Mumbai,6991,3.1
Hotel Grill,Mumbai,4267,3.1
Hotel Retreat,Mumbai,4608,3.8
Royal Grill,Mumbai,2822,2.9
Cafe Hub,Mumbai,3755,2.6
Royal Grill,Chennai,6136,4.4
Royal Terrace,Chennai,5387,2.8
Bistro Heaven,Chennai,6876,4.7
Plaza Delight,Chennai,6410,3.8
Bistro Delight,Chennai,1298,2.5
The Hub,Chennai,969,2.9
Lounge Delight,Chennai,3707,3.8
Resort Paradise,Kolkata,5238,2.9
Palace Corner,Kolkata,2792,2.6
Lounge Spice,Kolkata,6279,3.8
Cafe Heaven,Kolkata,1710,3.8
Bistro Spice,Kolkata,2028,4.9
Lounge Corner,Kolkata,5109,4.3
Royal Hub,Kolkata,4191,4.9
Plaza Oasis,Bengaluru,1742,3.8
Bistro Hub,Bengaluru,5956,4.3
Inn Terrace,Bengaluru,1536,4.7
Lounge Heaven,Bengaluru,3203,2.9
Royal Heaven,Bengaluru,5057,4.1
Hotel Terrace,Bengaluru,2922,2.5
Cafe Delight,Bengaluru,985,3.6
Plaza Retreat,Bengaluru,1736,4.7
Plaza Retreat,Hyderabad,1353,3.7
Garden Oasis,Hyderabad,1115,3.6
Palace Spice,Hyderabad,5949,2.5
The Grill,Hyderabad,6087,4.3
Palace Spice,Hyderabad,5456,4.5
Royal Hub,Hyderabad,6449,3.2
Royal Paradise,Hyderabad,1749,3.8
Garden Grill,Hyderabad,3460,5.0
Inn Spice,Hyderabad,2076,3.6
The Delight,Hyderabad,4918,2.7
Lounge Oasis,Pune,2742,2.8
Cafe Heaven,Pune,4587,4.7
Lounge Heaven,Pune,1728,4.2
The Corner,Pune,5361,3.8
Cafe Hub,Pune,3200,3.3
Lounge Grill,Pune,2109,4.1
Royal Terrace,Pune,5243,5.0
The Hub,Pune,2063,4.4
Royal Heaven,Pune,6127,2.9
Garden Spice,Pune,1192,3.0
The Hub,Ahmedabad,3116,2.8
Royal Spice,Ahmedabad,3233,3.6
Cafe Paradise,Ahmedabad,3818,3.7
Resort Grill,Ahmedabad,5204,3.4
Garden Spice,Ahmedabad,2026,2.8
Lounge Oasis,Ahmedabad,831,3.2
Lounge Paradise,Ahmedabad,5852,3.0
Inn Corner,Ahmedabad,889,4.6
Royal Spice,Jaipur,3470,4.1
The Heaven,Jaipur,4934,3.3
Royal Spice,Jaipur,1649,4.4
Resort Grill,Jaipur,2276,2.7
Plaza Terrace,Jaipur,1993,4.8
Palace Delight,Jaipur,1315,2.8
Inn Heaven,Jaipur,3347,4.8
Royal Retreat,Lucknow,3519,2.9
The Delight,Lucknow,3626,4.8
Lounge Terrace,Lucknow,5215,3.6
Resort Corner,Lucknow,5831,3.9
Palace Hub,Lucknow,1786,3.6
Inn Hub,Lucknow,3873,5.0
Resort Spice,Delhi,6254,3.7
Inn Delight,Delhi,4919,3.0
Plaza Hub,Delhi,6774,3.6
Inn Delight,Delhi,6020,4.2
The Delight,Delhi,6020,4.4
Garden Retreat,Delhi,6923,3.9
Inn Heaven,Delhi,4292,4.1
The Delight,Delhi,3570,2.7
Inn Hub,Delhi,1461,2.7
Royal Spice,Delhi,3335,4.5
Resort Hub,Mumbai,5592,3.2
Royal Terrace,Mumbai,1579,4.0
Lounge Heaven,Mumbai,2283,4.5
Inn Spice,Mumbai,4035,3.0
Lounge Hub,Mumbai,5713,3.9
Cafe Corner,Mumbai,3728,3.4
Inn Grill,Mumbai,3708,4.7
Hotel Grill,Mumbai,2467,3.3
Palace Heaven,Mumbai,6572,3.2
Royal Retreat,Mumbai,4809,3.1
Lounge Hub,Chennai,2381,4.5
Inn Corner,Chennai,1469,3.1
Garden Retreat,Chennai,6450,2.7
Hotel Grill,Chennai,2488,4.8
Cafe Oasis,Chennai,1419,2.5
Inn Oasis,Chennai,5076,4.1
Lounge Delight,Chennai,6565,3.6
Resort Hub,Kolkata,2508,3.3
Plaza Heaven,Kolkata,5668,4.5
Inn Delight,Kolkata,4768,3.6
Lounge Terrace,Kolkata,3012,3.6
Resort Hub,Kolkata,2230,4.8
Plaza Terrace,Kolkata,1352,3.3
Resort Terrace,Kolkata,2174,2.8
Hotel Corner,Bengaluru,4554,3.7
Inn Grill,Bengaluru,819,4.0
Hotel Delight,Bengaluru,1346,3.5
Resort Heaven,Bengaluru,2837,2.7
Royal Paradise,Bengaluru,3237,4.6
The Oasis,Bengaluru,4397,2.5
Lounge Oasis,Bengaluru,6883,2.5
Bistro Corner,Bengaluru,1913,4.3
Garden Hub,Hyderabad,3691,2.9
Resort Hub,Hyderabad,2852,2.8
The Paradise,Hyderabad,998,3.4
Lounge Retreat,Hyderabad,3859,3.5
Plaza Terrace,Hyderabad,6669,3.9
Plaza Spice,Hyderabad,3622,3.8
Plaza Oasis,Hyderabad,4581,3.1
The Heaven,Hyderabad,2788,4.8
Cafe Spice,Hyderabad,5550,4.3
Garden Terrace,Hyderabad,3699,4.6
Royal Paradise,Pune,4128,4.8
Plaza Delight,Pune,2566,4.9
Garden Retreat,Pune,1657,2.7
Hotel Retreat,Pune,4179,2.6
Garden Spice,Pune,5410,4.5
Palace Paradise,Pune,4207,4.0
Royal Terrace,Pune,4505,3.5
Inn Terrace,Pune,3454,3.4
Resort Terrace,Pune,6064,4.9
Royal Grill,Pune,3717,3.5
Cafe Terrace,Ahmedabad,3412,3.1
Royal Terrace,Ahmedabad,1348,4.1
Inn Heaven,Ahmedabad,2187,3.2
Inn Paradise,Ahmedabad,6857,3.2
Bistro Hub,Ahmedabad,1527,3.9
Inn Paradise,Ahmedabad,6478,2.7
The Heaven,Ahmedabad,5922,2.9
Garden Paradise,Ahmedabad,6437,3.8
Inn Terrace,Jaipur,4816,4.9
Royal Oasis,Jaipur,3774,4.0
Inn Paradise,Jaipur,6909,3.8
Royal Oasis,Jaipur,2654,3.4
Cafe Oasis,Jaipur,6323,4.0
Garden Corner,Jaipur,2646,4.0
Bistro Hub,Jaipur,3101,4.5
Bistro Corner,Lucknow,3329,3.7
Inn Oasis,Lucknow,5495,4.0
Plaza Delight,Lucknow,5884,3.3
Bistro Grill,Lucknow,4655,3.8
Garden Oasis,Lucknow,1558,3.0
Garden Corner,Lucknow,6704,4.4
Hotel Delight,Delhi,2226,2.9
Bistro Corner,Delhi,1917,4.5
Palace Delight,Delhi,2461,4.5
Bistro Oasis,Delhi,5773,2.6
Lounge Retreat,Delhi,4668,2.6
Hotel Spice,Delhi,5345,4.5
Palace Grill,Delhi,1590,2.8
The Hub,Delhi,3578,4.6
Hotel Corner,Delhi,4256,4.1
Resort Hub,Delhi,876,4.6
Palace Paradise,Mumbai,5689,3.4
Inn Retreat,Mumbai,1478,4.6
Garden Retreat,Mumbai,4630,2.5
Bistro Grill,Mumbai,6716,2.9
Hotel Delight,Mumbai,1533,4.1
Cafe Paradise,Mumbai,865,2.7
Plaza Heaven,Mumbai,1762,4.3
Cafe Spice,Mumbai,6077,4.9
Resort Delight,Mumbai,1284,3.4
Palace Oasis,Mumbai,3688,4.1
Garden Corner,Chennai,3293,2.8
Inn Terrace,Chennai,4615,2.8
Palace Paradise,Chennai,5989,3.3
Hotel Hub,Chennai,3558,4.2
Garden Corner,Chennai,1349,2.9
Cafe Paradise,Chennai,5777,4.7
Bistro Paradise,Chennai,6255,4.5
Lounge Oasis,Kolkata,2419,2.5
Hotel Heaven,Kolkata,5239,4.6
Hotel Grill,Kolkata,2969,2.5
Inn Grill,Kolkata,5511,3.4
Inn Heaven,Kolkata,4354,3.1
Palace Paradise,Kolkata,876,5.0
Royal Delight,Kolkata,2880,4.4
Inn Terrace,Bengaluru,6158,4.8
Resort Heaven,Bengaluru,6690,4.2
Resort Corner,Bengaluru,4923,3.2
Hotel Paradise,Bengaluru,2933,4.1
Hotel Paradise,Bengaluru,6081,3.9
Cafe Delight,Bengaluru,4843,3.6
Bistro Corner,Bengaluru,1817,2.5
Cafe Paradise,Bengaluru,992,3.2
Plaza Delight,Hyderabad,6373,3.7
Bistro Paradise,Hyderabad,6830,4.3
Resort Retreat,Hyderabad,4934,3.5
The Oasis,Hyderabad,4196,3.8
Resort Retreat,Hyderabad,6248,4.8
Inn Retreat,Hyderabad,3274,4.2
Royal Corner,Hyderabad,1807,3.6
Palace Heaven,Hyderabad,924,3.1
Royal Heaven,Hyderabad,4526,2.6
Palace Heaven,Hyderabad,2160,3.0
Inn Paradise,Pune,864,3.5
Bistro Delight,Pune,4605,3.6
Cafe Delight,Pune,2014,3.0
The Hub,Pune,3328,2.8
Hotel Paradise,Pune,5016,3.2
Garden Hub,Pune,6959,3.4
Royal Hub,Pune,2517,3.4
Cafe Hub,Pune,4756,4.1
Bistro Heaven,Pune,5435,4.0
Royal Spice,Pune,3028,3.5
Bistro Oasis,Ahmedabad,4808,5.0
Hotel Terrace,Ahmedabad,5336,4.0
Palace Spice,Ahmedabad,927,2.9
Plaza Terrace,Ahmedabad,5824,3.8
Royal Retreat,Ahmedabad,2031,2.9
The Paradise,Ahmedabad,1763,3.8
Bistro Paradise,Ahmedabad,6390,3.5
Garden Terrace,Ahmedabad,6845,2.5
Hotel Terrace,Jaipur,1330,3.7
Bistro Delight,Jaipur,1467,3.3
Bistro Paradise,Jaipur,1926,3.0
Lounge Terrace,Jaipur,1928,4.5
Royal Corner,Jaipur,6827,3.8
The Corner,Jaipur,4355,3.8
Palace Paradise,Jaipur,6245,4.2
Royal Delight,Lucknow,5037,4.1
Royal Terrace,Lucknow,6929,3.0
Royal Paradise,Lucknow,2547,3.8
Royal Heaven,Lucknow,6382,2.8
Lounge Delight,Lucknow,3599,4.1
Cafe Terrace,Lucknow,1594,4.8
Hotel Hub,Delhi,6236,3.7
Resort Oasis,Delhi,6580,2.6
Palace Grill,Delhi,6602,2.5
Palace Retreat,Delhi,3793,4.2
Resort Retreat,Delhi,1936,3.9
Royal Grill,Delhi,6175,4.8
Palace Hub,Delhi,6507,2.5
Lounge Paradise,Delhi,3533,2.5
Resort Retreat,Delhi,984,3.5
Inn Oasis,Delhi,2657,4.7
Cafe Grill,Mumbai,2059,3.7
Hotel Retreat,Mumbai,6726,4.8
Royal Spice,Mumbai,1685,2.6
Lounge Spice,Mumbai,2448,3.2
Palace Delight,Mumbai,4627,2.9
Resort Terrace,Mumbai,5894,4.6
Cafe Terrace,Mumbai,6095,3.4
Garden Oasis,Mumbai,3075,4.1
Inn Paradise,Mumbai,1050,4.9
Resort Terrace,Mumbai,4017,3.2
Lounge Delight,Chennai,1349,3.2
Royal Paradise,Chennai,3260,3.5
Royal Grill,Chennai,2583,2.5
Garden Paradise,Chennai,2987,2.9
Bistro Oasis,Chennai,2231,3.5
Lounge Paradise,Chennai,4998,4.2
Resort Retreat,Chennai,1257,3.4
Plaza Corner,Kolkata,1564,3.7
Inn Spice,Kolkata,2391,2.9
The Heaven,Kolkata,6952,3.0
The Heaven,Kolkata,1181,4.9
Garden Spice,Kolkata,4293,4.1
Cafe Retreat,Kolkata,5902,2.6
Inn Retreat,Kolkata,6014,4.6
Palace Oasis,Bengaluru,3134,4.9
Plaza Oasis,Bengaluru,6041,3.4
Royal Oasis,Bengaluru,2720,5.0
Garden Corner,Bengaluru,3552,3.2
Royal Oasis,Bengaluru,2413,4.6
The Paradise,Bengaluru,4354,3.7
Resort Delight,Bengaluru,5137,2.6
Hotel Grill,Bengaluru,5240,4.4
The Retreat,Hyderabad,1150,5.0
Hotel Delight,Hyderabad,6935,4.6
Plaza Paradise,Hyderabad,3210,2.8
Plaza Oasis,Hyderabad,5010,3.5
Hotel Hub,Hyderabad,5124,3.4
Garden Spice,Hyderabad,6600,3.8
Royal Terrace,Hyderabad,5278,2.8
Plaza Spice,Hyderabad,3675,2.9
Plaza Retreat,Hyderabad,861,3.5
Royal Terrace,Hyderabad,5716,4.6
Hotel Grill,Pune,1659,4.6
Cafe Terrace,Pune,5618,2.6
Royal Heaven,Pune,4579,4.4
Resort Corner,Pune,4570,4.1
Resort Corner,Pune,2571,4.7
Palace Hub,Pune,2775,4.8
Hotel Spice,Pune,5628,4.6
Garden Oasis,Pune,6746,4.7
Royal Spice,Pune,3699,3.1
The Hub,Pune,4128,4.5
Inn Retreat,Ahmedabad,2354,4.3
Cafe Hub,Ahmedabad,4078,4.6
Plaza Terrace,Ahmedabad,3770,3.1
Inn Retreat,Ahmedabad,2717,4.1
Royal Corner,Ahmedabad,1199,2.6
Hotel Oasis,Ahmedabad,3767,2.6
Cafe Oasis,Ahmedabad,3150,4.4
Royal Spice,Ahmedabad,5109,4.8
Cafe Paradise,Jaipur,3865,4.1
The Terrace,Jaipur,4567,4.5
Garden Terrace,Jaipur,1070,3.9
Hotel Delight,Jaipur,4771,3.6
Palace Retreat,Jaipur,4312,4.6
Cafe Retreat,Jaipur,6379,3.5
Palace Delight,Jaipur,4585,2.6
Cafe Hub,Lucknow,5794,3.4
Resort Delight,Lucknow,4520,3.3
Inn Paradise,Lucknow,3463,3.5
Hotel Heaven,Lucknow,1120,3.0
Cafe Delight,Lucknow,6501,3.3
Royal Spice,Lucknow,2716,3.8
Cafe Delight,Delhi,1959,3.8
Plaza Spice,Delhi,5903,3.6
Bistro Spice,Delhi,6839,3.8
Royal Corner,Delhi,4790,2.8
Palace Spice,Delhi,6864,2.9
The Retreat,Delhi,1322,2.5
Resort Spice,Delhi,3722,2.6
Lounge Heaven,Delhi,4648,3.6
Resort Heaven,Delhi,4039,3.9
Bistro Retreat,Delhi,3393,4.2
Palace Hub,Mumbai,5745,3.8
Plaza Paradise,Mumbai,2295,4.4
Lounge Paradise,Mumbai,3167,3.4
Cafe Corner,Mumbai,5073,3.2
Cafe Retreat,Mumbai,4659,3.4
The Corner,Mumbai,3873,4.6
Royal Heaven,Mumbai,3526,4.9
Royal Hub,Mumbai,4861,3.0
Lounge Oasis,Mumbai,5118,3.1
Palace Grill,Mumbai,1035,4.4
Royal Oasis,Chennai,4740,2.9
The Paradise,Chennai,3291,4.5
Hotel Grill,Chennai,3528,3.8
Royal Retreat,Chennai,5213,2.9
Inn Hub,Chennai,1159,2.8
Bistro Retreat,Chennai,1536,4.8
Resort Retreat,Chennai,4305,2.6
Lounge Oasis,Kolkata,4587,4.5
Bistro Terrace,Kolkata,1593,4.6
Lounge Retreat,Kolkata,5601,3.3
Bistro Terrace,Kolkata,2058,3.9
Royal Retreat,Kolkata,2952,4.2
Bistro Terrace,Kolkata,6212,2.9
Inn Spice,Kolkata,6177,4.3
Resort Grill,Bengaluru,3176,4.2
Hotel Spice,Bengaluru,2374,3.9
Lounge Paradise,Bengaluru,5594,3.7
Lounge Spice,Bengaluru,5322,3.8
Palace Corner,Bengaluru,6125,5.0
Garden Heaven,Bengaluru,3240,2.5
Lounge Corner,Bengaluru,4430,4.8
Resort Oasis,Bengaluru,6895,4.8
Plaza Spice,Hyderabad,3394,3.8
Resort Oasis,Hyderabad,4868,4.5
Inn Retreat,Hyderabad,6310,3.8
Palace Terrace,Hyderabad,2650,3.6
Resort Oasis,Hyderabad,4087,4.7
Bistro Spice,Hyderabad,6483,4.4
Lounge Corner,Hyderabad,5589,3.4
The Delight,Hyderabad,1240,4.6
Hotel Paradise,Hyderabad,1673,4.9
Garden Grill,Hyderabad,3124,2.6
Palace Paradise,Pune,2384,3.1
Hotel Oasis,Pune,6035,4.0
Bistro Spice,Pune,1452,4.0
Lounge Delight,Pune,2152,3.7
Lounge Delight,Pune,5441,5.0
Resort Delight,Pune,3613,4.0
Lounge Retreat,Pune,6971,2.9
Royal Hub,Pune,1762,3.6
Plaza Paradise,Pune,1774,3.8
Resort Terrace,Pune,2654,3.6
Lounge Corner,Ahmedabad,1400,3.1
Hotel Heaven,Ahmedabad,6134,3.8
Hotel Paradise,Ahmedabad,6648,4.7
Cafe Corner,Ahmedabad,3589,4.3
Lounge Grill,Ahmedabad,4975,3.9
Garden Oasis,Ahmedabad,5757,2.9
The Delight,Ahmedabad,1660,3.7
Resort Corner,Ahmedabad,843,4.6
The Spice,Jaipur,6873,4.3
Bistro Oasis,Jaipur,2224,3.5
Resort Spice,Jaipur,5547,4.3
Garden Hub,Jaipur,3425,3.7
Garden Paradise,Jaipur,4712,3.5
Resort Heaven,Jaipur,1354,3.5
Hotel Spice,Jaipur,2066,2.8
The Terrace,Lucknow,6886,3.9
Garden Delight,Lucknow,1147,3.7
The Spice,Lucknow,889,4.7
Plaza Paradise,Lucknow,6338,2.8
Plaza Hub,Lucknow,3630,4.0
Lounge Oasis,Lucknow,4111,4.4
Bistro Retreat,Delhi,934,3.3
Inn Oasis,Delhi,2428,3.3
Palace Corner,Delhi,1360,3.9
Lounge Oasis,Delhi,2048,4.5
Garden Grill,Delhi,3737,4.8
Plaza Paradise,Delhi,3294,4.7
Resort Paradise,Delhi,2991,4.7
Palace Oasis,Delhi,5054,4.4
Inn Delight,Delhi,5894,2.8
Lounge Hub,Delhi,4144,3.3
Bistro Heaven,Mumbai,1616,2.6
Lounge Delight,Mumbai,2077,5.0
Hotel Heaven,Mumbai,6845,4.6
Bistro Terrace,Mumbai,3157,4.2
Garden Grill,Mumbai,3985,3.4
Royal Delight,Mumbai,5776,3.0
Hotel Terrace,Mumbai,1706,2.8
Royal Grill,Mumbai,1751,4.0
Royal Hub,Mumbai,1481,4.9
Garden Paradise,Mumbai,975,4.1
Resort Delight,Chennai,3999,4.8
The Grill,Chennai,6790,4.1
Inn Spice,Chennai,2252,4.6
Cafe Retreat,Chennai,1235,4.9
Cafe Grill,Chennai,2079,3.2
Lounge Corner,Chennai,6533,3.6
Plaza Corner,Chennai,6602,4.3
Inn Grill,Kolkata,2913,3.5
The Heaven,Kolkata,2230,2.6
Cafe Heaven,Kolkata,2737,4.5
Royal Grill,Kolkata,5154,3.5
The Retreat,Kolkata,3294,3.3
Palace Hub,Kolkata,6420,4.0
Bistro Hub,Kolkata,5776,3.6
Palace Retreat,Bengaluru,1644,4.5
Bistro Paradise,Bengaluru,1502,3.3
Royal Paradise,Bengaluru,6998,4.8
Lounge Grill,Bengaluru,2446,4.9
Inn Grill,Bengaluru,6366,4.9
Garden Oasis,Bengaluru,3990,2.7
Inn Terrace,Bengaluru,2640,2.7
Bistro Spice,Bengaluru,2684,3.9
Garden Spice,Hyderabad,4922,4.0
The Paradise,Hyderabad,4555,2.5
Bistro Retreat,Hyderabad,1305,3.7
Royal Heaven,Hyderabad,4579,4.8
Hotel Paradise,Hyderabad,2030,3.4
Bistro Corner,Hyderabad,6746,4.5
Royal Grill,Hyderabad,2812,4.7
Garden Hub,Hyderabad,1396,3.8
Cafe Delight,Hyderabad,5455,4.5
Hotel Spice,Hyderabad,4402,4.0
Palace Hub,Pune,1552,2.9
Garden Oasis,Pune,3183,4.8
Garden Terrace,Pune,3412,4.0
Garden Heaven,Pune,5864,3.4
Cafe Corner,Pune,2008,2.7
Royal Grill,Pune,5100,2.9
Cafe Paradise,Pune,3083,4.2
Lounge Heaven,Pune,6328,2.7
Lounge Corner,Pune,1626,3.7
Bistro Spice,Pune,2988,4.5
Palace Terrace,Ahmedabad,2474,3.1
Hotel Paradise,Ahmedabad,1116,2.9
Bistro Oasis,Ahmedabad,1421,2.9
Royal Heaven,Ahmedabad,5945,3.2
The Delight,Ahmedabad,4011,3.5
Hotel Heaven,Ahmedabad,5212,3.4
Palace Delight,Ahmedabad,3904,3.0
Inn Spice,Ahmedabad,2877,3.3
Resort Retreat,Jaipur,4177,3.8
Plaza Delight,Jaipur,4869,2.9
Plaza Spice,Jaipur,3408,4.0
Resort Retreat,Jaipur,1211,4.8
The Terrace,Jaipur,2821,3.0
Bistro Hub,Jaipur,6031,4.0
The Spice,Jaipur,2028,3.3
Royal Corner,Lucknow,1853,3.3
Bistro Delight,Lucknow,6142,3.7
Royal Spice,Lucknow,2569,3.5
Plaza Paradise,Lucknow,3656,4.9
Resort Retreat,Lucknow,2522,4.7
Resort Retreat,Lucknow,6313,2.6
The Spice,Delhi,2626,3.4
Garden Heaven,Delhi,3900,3.0
Plaza Heaven,Delhi,2103,2.7
Plaza Hub,Delhi,6251,2.6
Palace Oasis,Delhi,5870,4.4
Cafe Paradise,Delhi,3135,3.9
Garden Oasis,Delhi,2737,3.4
Garden Corner,Delhi,6551,3.2
The Hub,Delhi,938,4.2
Palace Corner,Delhi,6485,3.4
Lounge Oasis,Mumbai,2397,4.5
Inn Heaven,Mumbai,2155,4.8
Resort Terrace,Mumbai,3839,3.3
Plaza Hub,Mumbai,6070,2.6
Lounge Paradise,Mumbai,1070,3.5
Resort Paradise,Mumbai,4245,3.3
Lounge Hub,Mumbai,3254,3.4
Lounge Grill,Mumbai,5429,2.8
Cafe Spice,Mumbai,3561,4.9
Garden Terrace,Mumbai,6745,3.4
Resort Corner,Chennai,6870,2.9
Cafe Grill,Chennai,5224,3.3
The Corner,Chennai,1213,4.5
Bistro Heaven,Chennai,6399,3.9
The Heaven,Chennai,3906,4.4
The Heaven,Chennai,1331,2.8
Plaza Spice,Chennai,1557,4.1
Hotel Terrace,Kolkata,6774,5.0
Royal Grill,Kolkata,5774,3.1
Cafe Grill,Kolkata,4718,4.1
Hotel Delight,Kolkata,2872,3.7
The Grill,Kolkata,2861,2.7
Garden Corner,Kolkata,1420,3.1
Royal Heaven,Kolkata,5140,2.6
Palace Oasis,Bengaluru,3591,3.6
Cafe Terrace,Bengaluru,1173,4.8
Hotel Heaven,Bengaluru,4764,2.7
Bistro Delight,Bengaluru,2662,3.5
Plaza Oasis,Bengaluru,3890,4.8
Inn Paradise,Bengaluru,1860,4.9
Cafe Paradise,Bengaluru,2611,3.8
Resort Paradise,Bengaluru,2679,3.9
Cafe Delight,Hyderabad,2354,3.9
Cafe Spice,Hyderabad,1540,3.2
Resort Oasis,Hyderabad,842,3.9
Lounge Retreat,Hyderabad,2649,4.6
Inn Retreat,Hyderabad,1149,5.0
Hotel Spice,Hyderabad,6242,4.0
Palace Retreat,Hyderabad,5857,3.8
Hotel Delight,Hyderabad,875,3.2
Plaza Terrace,Hyderabad,6181,4.5
The Heaven,Hyderabad,4823,3.8
Royal Hub,Pune,6720,3.2
Inn Grill,Pune,6152,2.9
Royal Retreat,Pune,4318,2.9
Hotel Paradise,Pune,4389,4.4
Bistro Delight,Pune,1694,3.2
Cafe Spice,Pune,5774,2.7
Inn Oasis,Pune,4328,4.7
Lounge Delight,Pune,3058,4.5
Plaza Heaven,Pune,1233,3.1
Hotel Delight,Pune,950,4.3
Garden Retreat,Ahmedabad,5085,4.7
Cafe Delight,Ahmedabad,6422,3.5
Plaza Hub,Ahmedabad,1876,4.0
Garden Spice,Ahmedabad,2919,3.6
Royal Oasis,Ahmedabad,4963,4.0
Lounge Heaven,Ahmedabad,5812,4.4
The Heaven,Ahmedabad,826,2.7
Royal Delight,Ahmedabad,3439,4.9
The Hub,Jaipur,1613,4.2
Lounge Heaven,Jaipur,2860,4.5
Palace Paradise,Jaipur,2863,3.2
Plaza Grill,Jaipur,6284,4.6
Palace Spice,Jaipur,4275,3.0
Inn Retreat,Jaipur,3728,4.1
Plaza Terrace,Jaipur,1587,4.4
Hotel Hub,Lucknow,872,3.4
Plaza Retreat,Lucknow,1197,4.7
Lounge Terrace,Lucknow,4855,3.2
Lounge Retreat,Lucknow,2583,3.0
Royal Delight,Lucknow,3912,4.5
Garden Paradise,Lucknow,6709,4.4
Inn Paradise,Delhi,6126,3.0
Royal Spice,Delhi,1934,3.6
Garden Retreat,Delhi,6865,5.0
Royal Delight,Delhi,6133,4.4
Lounge Oasis,Delhi,2861,3.0
Hotel Grill,Delhi,4398,4.2
Palace Spice,Delhi,3392,3.7
Inn Hub,Delhi,5902,3.2
Bistro Delight,Delhi,1178,4.7
Inn Delight,Delhi,2022,3.7
Resort Hub,Mumbai,2776,4.4
Palace Heaven,Mumbai,822,4.4
Cafe Terrace,Mumbai,2161,3.3
Inn Spice,Mumbai,6011,4.9
Garden Delight,Mumbai,4891,2.6
Bistro Retreat,Mumbai,1072,4.6
Resort Terrace,Mumbai,5736,2.7
The Paradise,Mumbai,3157,4.3
Hotel Delight,Mumbai,4559,2.8
Garden Oasis,Mumbai,5357,3.3
