Name of the hotel,City,Budget for 1 day and night,Rating of the hotel
Resort Residency,Bengaluru,11271,3.9
Inn Inn,Hyderabad,9320,3.5
Bay Suites,Hyderabad,9606,5.0
Regency Lounge,Hyderabad,13291,4.3
Inn Heights,Hyderabad,3356,4.6
Suites Vista,Hyderabad,8005,3.4
Royal Suites,Hyderabad,13320,4.3
Plaza Oasis,Hyderabad,12130,3.4
Hotel Oasis,Hyderabad,9525,3.1
Regency Retreat,Hyderabad,8178,4.0
Resort Lounge,Pune,14489,4.9
Inn Gardens,Pune,4445,4.5
Hotel Retreat,Pune,13766,2.6
Heights Lounge,Pune,10001,3.4
Palace Retreat,Pune,12454,5.0
Grand Residency,Pune,1296,2.5
Inn Suites,Pune,9330,2.5
Hotel Heights,Pune,6812,3.6
Inn Vista,Pune,11377,3.7
Bay Suites,Ahmedabad,10686,3.7
Resort Palace,Ahmedabad,7479,4.9
Palace Gardens,Ahmedabad,8944,2.6
Heights Heights,Ahmedabad,12310,3.6
Hotel Heights,Ahmedabad,11767,3.2
Regency Gardens,Ahmedabad,9308,3.8
Bay Lounge,Ahmedabad,6060,4.1
Palace Suites,Ahmedabad,12895,2.8
Palace Oasis,Ahmedabad,9366,4.5
Palace Palace,Ahmedabad,11471,4.2
Resort Vista,Jaipur,1691,3.7
Inn Lounge,Jaipur,13152,2.5
Palace Gardens,Jaipur,8897,4.8
Inn Gardens,Jaipur,13423,3.7
Bay Palace,Jaipur,818,4.6
Inn Heights,Jaipur,2431,4.1
Regency Vista,Jaipur,11736,3.3
Suites Inn,Jaipur,1639,4.5
Regency Gardens,Lucknow,14411,4.8
Grand Lounge,Lucknow,3110,3.5
Regency Palace,Lucknow,4396,2.7
Inn Oasis,Lucknow,12203,4.0
Suites Palace,Lucknow,5209,3.4
Hotel Vista,Lucknow,13198,4.9
Plaza Residency,Delhi,7023,4.5
Grand Palace,Delhi,7291,4.4
Resort Gardens,Delhi,11347,2.8
Plaza Gardens,Delhi,8151,2.5
Plaza Suites,Delhi,1713,2.9
Royal Inn,Delhi,4466,4.2
Plaza Residency,Delhi,6106,4.8
Plaza Heights,Mumbai,3987,3.4
Palace Inn,Mumbai,10149,3.2
Palace Residency,Mumbai,10508,2.5
Regency Suites,Mumbai,4668,4.0
Bay Gardens,Mumbai,6789,4.0
Bay Suites,Mumbai,1957,3.5
Grand Oasis,Chennai,10792,3.2
Plaza Inn,Chennai,1158,2.9
Suites Suites,Chennai,11631,4.8
Bay Lounge,Chennai,10791,3.0
Resort Residency,Chennai,6767,4.0
Royal Gardens,Chennai,3036,2.8
Hotel Lounge,Chennai,9366,2.7
Regency Retreat,Kolkata,3086,2.7
Royal Retreat,Kolkata,8201,2.8
Inn Lounge,Kolkata,1772,4.5
Hotel Inn,Kolkata,14224,4.7
Plaza Vista,Kolkata,14408,5.0
Plaza Palace,Kolkata,7767,3.3
Heights Gardens,Bengaluru,10007,4.0
Grand Lounge,Bengaluru,3995,2.7
Heights Suites,Bengaluru,11252,3.9
Resort Inn,Bengaluru,7650,4.2
Bay Heights,Bengaluru,7287,4.2
Suites Palace,Bengaluru,9250,2.9
Heights Suites,Bengaluru,7890,3.2
Inn Palace,Bengaluru,5392,3.6
Royal Lounge,Bengaluru,2011,3.8
Bay Heights,Hyderabad,833,2.5
Royal Vista,Hyderabad,1935,3.4
Hotel Vista,Hyderabad,7218,3.1
Grand Heights,Hyderabad,12225,4.5
Suites Retreat,Hyderabad,10248,4.5
Suites Suites,Hyderabad,4921,2.7
Grand Residency,Hyderabad,6848,4.2
Suites Suites,Hyderabad,4516,3.0
Bay Palace,Hyderabad,13543,2.8
Resort Palace,Pune,2169,2.6
Royal Inn,Pune,4324,4.3
Royal Oasis,Pune,12363,4.0
Royal Palace,Pune,8425,4.6
Heights Oasis,Pune,9393,3.2
Regency Gardens,Pune,10311,4.1
Regency Oasis,Pune,5760,4.5
Royal Retreat,Pune,8179,4.4
Resort Suites,Pune,1314,3.8
Resort Oasis,Ahmedabad,11134,4.2
Regency Vista,Ahmedabad,4886,2.9
Hotel Lounge,Ahmedabad,8679,3.4
Regency Vista,Ahmedabad,13255,4.9
Heights Inn,Ahmedabad,5862,2.8
Hotel Inn,Ahmedabad,7132,4.6
Plaza Palace,Ahmedabad,5844,3.5
Hotel Heights,Ahmedabad,4285,3.4
Hotel Heights,Ahmedabad,4973,3.0
Hotel Gardens,Ahmedabad,13068,2.7
Grand Gardens,Jaipur,14106,3.3
Hotel Retreat,Jaipur,14402,3.9
Royal Suites,Jaipur,9621,2.8
Regency Lounge,Jaipur,4757,3.4
Resort Oasis,Jaipur,11065,4.0
Plaza Oasis,Jaipur,12942,3.0
Bay Oasis,Jaipur,5578,3.6
Resort Vista,Jaipur,9608,2.9
Palace Inn,Lucknow,1644,3.2
Grand Gardens,Lucknow,5805,4.5
Inn Oasis,Lucknow,10514,3.8
Royal Vista,Lucknow,5630,4.8
Inn Lounge,Lucknow,14496,5.0
Grand Residency,Lucknow,1205,3.9
Palace Palace,Delhi,11838,3.4
Plaza Gardens,Delhi,11438,4.3
Regency Palace,Delhi,13742,4.9
Plaza Gardens,Delhi,9549,4.1
Regency Gardens,Delhi,1377,4.5
Palace Oasis,Delhi,14405,2.8
Inn Oasis,Delhi,7048,3.5
Palace Retreat,Mumbai,4605,3.4
Royal Vista,Mumbai,4887,3.3
Bay Gardens,Mumbai,10458,3.5
Grand Heights,Mumbai,3188,4.8
Suites Retreat,Mumbai,1394,3.7
Plaza Residency,Mumbai,1350,3.8
Suites Vista,Chennai,1281,2.7
Inn Heights,Chennai,5582,3.7
Hotel Palace,Chennai,5311,4.2
Grand Inn,Chennai,5963,3.3
Hotel Heights,Chennai,7883,3.3
Royal Oasis,Chennai,10881,5.0
Regency Oasis,Chennai,11923,2.7
Palace Palace,Kolkata,10205,2.8
Resort Inn,Kolkata,12309,3.3
Royal Residency,Kolkata,2688,4.0
Resort Lounge,Kolkata,4422,3.6
Hotel Inn,Kolkata,5593,4.0
Inn Residency,Kolkata,1339,3.0
Bay Palace,Bengaluru,4658,3.8
Regency Inn,Bengaluru,9491,3.3
Plaza Heights,Bengaluru,3345,3.9
Grand Suites,Bengaluru,11093,3.1
Resort Suites,Bengaluru,14670,2.5
Grand Lounge,Bengaluru,14925,2.9
Bay Oasis,Bengaluru,13906,3.9
Plaza Retreat,Bengaluru,6317,2.9
Heights Vista,Bengaluru,9733,4.7
Resort Retreat,Hyderabad,5946,4.7
Resort Lounge,Hyderabad,8699,3.7
Resort Lounge,Hyderabad,13333,4.9
Regency Suites,Hyderabad,12605,4.8
Plaza Inn,Hyderabad,4159,4.1
Grand Oasis,Hyderabad,4844,4.6
Regency Gardens,Hyderabad,10145,3.8
Palace Retreat,Hyderabad,8026,4.1
Bay Palace,Hyderabad,3139,4.3
Palace Gardens,Pune,12451,3.2
Hotel Heights,Pune,9219,3.0
Bay Suites,Pune,5238,3.5
Resort Residency,Pune,14852,4.1
Bay Heights,Pune,2644,3.1
Regency Heights,Pune,10489,3.9
Resort Heights,Pune,9617,3.3
Heights Palace,Pune,10997,3.3
Grand Retreat,Pune,14621,2.9
Inn Heights,Ahmedabad,10624,5.0
Heights Vista,Ahmedabad,8968,4.3
Inn Lounge,Ahmedabad,5279,2.9
Royal Oasis,Ahmedabad,2344,2.9
Resort Vista,Ahmedabad,5466,4.4
Inn Retreat,Ahmedabad,6184,3.2
Suites Residency,Ahmedabad,1601,2.7
Palace Lounge,Ahmedabad,5896,3.1
Resort Gardens,Ahmedabad,10591,4.7
Royal Oasis,Ahmedabad,5713,2.7
Regency Palace,Jaipur,10687,4.3
Plaza Heights,Jaipur,7329,2.9
Heights Gardens,Jaipur,851,4.0
Hotel Heights,Jaipur,9509,3.3
Royal Vista,Jaipur,6825,3.9
Resort Oasis,Jaipur,10839,4.8
Bay Oasis,Jaipur,1875,2.6
Plaza Heights,Jaipur,10147,2.5
Hotel Vista,Lucknow,6284,3.3
Grand Retreat,Lucknow,7019,2.6
Royal Residency,Lucknow,9837,2.9
Palace Palace,Lucknow,8018,3.8
Bay Heights,Lucknow,4159,4.5
Suites Inn,Lucknow,3389,4.3
Bay Gardens,Delhi,1548,4.4
Palace Inn,Delhi,8629,4.4
Bay Suites,Delhi,11598,2.8
Suites Oasis,Delhi,6641,4.2
Regency Lounge,Delhi,1360,4.9
Palace Residency,Delhi,7456,2.9
Suites Vista,Delhi,7930,3.3
Inn Palace,Mumbai,7653,4.3
Bay Palace,Mumbai,2675,2.8
Inn Inn,Mumbai,10581,4.3
Regency Lounge,Mumbai,2274,4.0
Inn Retreat,Mumbai,13299,3.0
Palace Inn,Mumbai,10120,2.9
Heights Gardens,Chennai,1402,4.8
Plaza Oasis,Chennai,2239,4.9
Heights Inn,Chennai,6730,3.1
Royal Oasis,Chennai,11330,3.0
Regency Suites,Chennai,11333,3.0
Resort Gardens,Chennai,14717,3.9
Plaza Heights,Chennai,7655,4.3
Palace Retreat,Kolkata,14281,4.4
Inn Residency,Kolkata,10408,2.8
Heights Gardens,Kolkata,11783,2.8
Inn Gardens,Kolkata,8378,2.6
Suites Retreat,Kolkata,14496,4.4
Inn Lounge,Kolkata,9895,3.1
Royal Gardens,Bengaluru,1785,3.5
Grand Inn,Bengaluru,12733,3.3
Inn Residency,Bengaluru,10997,3.2
Resort Suites,Bengaluru,12646,2.8
Plaza Inn,Bengaluru,11229,4.9
Palace Suites,Bengaluru,8363,3.8
Royal Suites,Bengaluru,3863,3.0
Bay Inn,Bengaluru,13260,4.9
Palace Oasis,Bengaluru,2746,2.5
Heights Suites,Hyderabad,6510,2.7
Heights Palace,Hyderabad,12139,2.9
Regency Oasis,Hyderabad,8142,4.3
Bay Lounge,Hyderabad,4461,2.7
Hotel Inn,Hyderabad,2655,4.2
Regency Palace,Hyderabad,12457,4.8
Palace Inn,Hyderabad,10609,3.0
Resort Inn,Hyderabad,14821,3.0
Inn Palace,Hyderabad,7184,3.1
Regency Oasis,Pune,10083,3.4
Suites Lounge,Pune,14292,3.6
Regency Vista,Pune,13236,3.5
Suites Gardens,Pune,5027,4.1
Suites Residency,Pune,14875,3.2
Regency Oasis,Pune,9501,3.4
Bay Vista,Pune,11713,2.9
Grand Suites,Pune,11398,2.9
Resort Heights,Pune,3096,3.6
Grand Inn,Ahmedabad,9124,4.9
Inn Palace,Ahmedabad,13594,2.9
Royal Retreat,Ahmedabad,8765,5.0
Royal Gardens,Ahmedabad,12915,4.4
Inn Heights,Ahmedabad,7493,4.8
Inn Oasis,Ahmedabad,2632,4.1
Bay Lounge,Ahmedabad,3815,4.2
Palace Heights,Ahmedabad,13530,3.5
Resort Lounge,Ahmedabad,6376,4.8
Royal Inn,Ahmedabad,6065,4.4
Plaza Gardens,Jaipur,6038,4.0
Grand Gardens,Jaipur,1034,3.1
Bay Inn,Jaipur,945,4.9
Suites Heights,Jaipur,10798,3.9
Grand Inn,Jaipur,14255,4.7
Royal Gardens,Jaipur,13872,4.3
Resort Palace,Jaipur,5598,4.5
Inn Oasis,Jaipur,2524,4.6
Palace Retreat,Lucknow,865,2.8
Heights Lounge,Lucknow,6320,4.2
Grand Oasis,Lucknow,5688,3.5
Royal Suites,Lucknow,837,3.2
Suites Oasis,Lucknow,14051,3.2
Royal Inn,Lucknow,7992,3.3
Bay Oasis,Delhi,7015,4.8
Royal Inn,Delhi,7187,3.8
Heights Oasis,Delhi,6726,4.1
Inn Retreat,Delhi,14008,3.1
Plaza Inn,Delhi,1005,4.1
Heights Lounge,Delhi,5326,4.1
Regency Palace,Delhi,12743,4.0
Regency Vista,Mumbai,14426,3.9
Resort Palace,Mumbai,13265,4.6
Hotel Residency,Mumbai,2151,4.8
Plaza Suites,Mumbai,14788,2.8
Suites Retreat,Mumbai,8148,3.2
Inn Gardens,Mumbai,2608,4.8
Royal Oasis,Chennai,12051,3.7
Inn Oasis,Chennai,1156,3.0
Royal Suites,Chennai,7670,4.4
Heights Lounge,Chennai,14730,2.5
Heights Retreat,Chennai,9675,4.0
Palace Residency,Chennai,2448,3.7
Inn Palace,Chennai,14016,3.6
Heights Residency,Kolkata,7731,3.8
Suites Vista,Kolkata,2130,4.7
Bay Vista,Kolkata,9523,2.8
Palace Suites,Kolkata,14053,4.8
Heights Vista,Kolkata,2543,3.5
Bay Oasis,Kolkata,4426,2.7
Royal Suites,Bengaluru,9428,4.0
Hotel Suites,Bengaluru,13515,2.7
Grand Heights,Bengaluru,3875,4.9
Heights Vista,Bengaluru,3487,4.8
Inn Vista,Bengaluru,1173,3.0
Palace Vista,Bengaluru,2377,4.9
Palace Oasis,Bengaluru,6794,4.0
Grand Gardens,Bengaluru,13355,2.9
Regency Vista,Bengaluru,1656,2.7
Plaza Residency,Hyderabad,6981,4.6
Grand Vista,Hyderabad,11411,2.7
Palace Vista,Hyderabad,11067,4.3
Resort Heights,Hyderabad,6807,3.1
Plaza Suites,Hyderabad,3426,3.3
Royal Vista,Hyderabad,10666,4.3
Palace Retreat,Hyderabad,14655,2.7
Regency Lounge,Hyderabad,3096,3.9
Regency Heights,Hyderabad,9797,4.8
Resort Heights,Pune,13180,4.1
Hotel Suites,Pune,6831,3.6
Plaza Inn,Pune,10604,4.9
Suites Residency,Pune,12857,4.8
Hotel Gardens,Pune,2008,3.9
Royal Gardens,Pune,1003,4.0
Heights Gardens,Pune,11892,3.5
Bay Oasis,Pune,10640,3.3
Resort Heights,Pune,5840,2.8
Grand Oasis,Ahmedabad,3497,2.9
Heights Heights,Ahmedabad,12653,2.7
Resort Heights,Ahmedabad,7645,4.8
Hotel Suites,Ahmedabad,11355,3.5
Palace Gardens,Ahmedabad,7547,4.1
Heights Heights,Ahmedabad,1346,3.9
Grand Lounge,Ahmedabad,2924,4.3
Inn Vista,Ahmedabad,6458,3.7
Resort Inn,Ahmedabad,4791,4.9
Heights Vista,Ahmedabad,13446,4.2
Resort Inn,Jaipur,1518,4.6
Plaza Palace,Jaipur,9265,3.5
Plaza Palace,Jaipur,12540,2.5
Resort Retreat,Jaipur,7128,2.9
Palace Gardens,Jaipur,5750,3.5
Heights Residency,Jaipur,12864,4.2
Resort Residency,Jaipur,1458,3.6
Heights Vista,Jaipur,10495,3.1
Hotel Heights,Lucknow,13203,3.8
Heights Gardens,Lucknow,4420,4.7
Heights Inn,Lucknow,8117,3.1
Grand Residency,Lucknow,11598,3.3
Royal Vista,Lucknow,5486,3.3
Regency Palace,Lucknow,13428,3.9
Hotel Vista,Delhi,12929,4.5
Suites Palace,Delhi,3651,4.1
Palace Lounge,Delhi,3673,4.5
Heights Vista,Delhi,9580,4.7
Inn Palace,Delhi,12301,4.8
Regency Oasis,Delhi,9123,3.4
Regency Suites,Delhi,11558,3.4
Suites Residency,Mumbai,6930,4.7
Suites Lounge,Mumbai,13097,4.8
Bay Suites,Mumbai,4651,4.8
Regency Suites,Mumbai,8884,4.8
Heights Vista,Mumbai,11153,3.8
Resort Suites,Mumbai,4365,4.1
Hotel Gardens,Chennai,9987,3.4
Royal Gardens,Chennai,7951,4.7
Suites Vista,Chennai,1338,4.4
Palace Lounge,Chennai,4731,2.6
Hotel Lounge,Chennai,4006,3.0
Plaza Palace,Chennai,4196,4.1
Hotel Gardens,Chennai,11058,3.7
Inn Retreat,Kolkata,1831,2.8
Bay Oasis,Kolkata,9826,4.0
Resort Heights,Kolkata,2989,4.2
Regency Inn,Kolkata,5395,4.3
Heights Residency,Kolkata,1862,3.8
Royal Palace,Kolkata,9209,3.7
Heights Inn,Bengaluru,1366,5.0
Heights Vista,Bengaluru,14274,4.7
Palace Oasis,Bengaluru,8931,4.2
Suites Vista,Bengaluru,8185,4.5
Plaza Inn,Bengaluru,6683,4.9
Royal Retreat,Bengaluru,10514,4.3
Regency Lounge,Bengaluru,11780,3.4
Plaza Lounge,Bengaluru,5840,4.2
Suites Residency,Bengaluru,11394,4.1
Suites Retreat,Hyderabad,890,4.2
Suites Inn,Hyderabad,5339,3.3
Grand Inn,Hyderabad,7606,4.5
Palace Vista,Hyderabad,4380,2.6
Palace Heights,Hyderabad,9037,2.7
Grand Heights,Hyderabad,7417,5.0
Hotel Palace,Hyderabad,2476,3.1
Suites Lounge,Hyderabad,8685,5.0
Hotel Residency,Hyderabad,1035,2.6
Grand Palace,Pune,3751,4.9
Resort Gardens,Pune,12794,3.5
Inn Inn,Pune,974,3.0
Royal Palace,Pune,2519,4.0
Regency Lounge,Pune,4290,3.9
Bay Residency,Pune,6069,4.6
Heights Vista,Pune,7407,4.1
Inn Palace,Pune,8467,4.6
Hotel Inn,Pune,4216,2.6
Suites Oasis,Ahmedabad,1477,2.5
Palace Lounge,Ahmedabad,1617,4.2
Hotel Palace,Ahmedabad,2473,4.4
Palace Palace,Ahmedabad,8201,4.8
Grand Palace,Ahmedabad,12811,2.7
Royal Residency,Ahmedabad,13367,4.7
Hotel Palace,Ahmedabad,8721,4.7
Hotel Vista,Ahmedabad,4372,3.6
Grand Inn,Ahmedabad,7757,3.6
Resort Heights,Ahmedabad,4875,3.4
Bay Retreat,Jaipur,12838,4.9
Grand Oasis,Jaipur,10889,4.5
Hotel Vista,Jaipur,13836,4.5
Hotel Lounge,Jaipur,6504,3.2
Royal Lounge,Jaipur,12937,2.7
Royal Oasis,Jaipur,2772,4.3
Suites Palace,Jaipur,6717,2.9
Royal Lounge,Jaipur,7846,3.6
Palace Retreat,Lucknow,11520,4.6
Royal Suites,Lucknow,10368,4.0
Palace Inn,Lucknow,3424,4.3
Royal Vista,Lucknow,11693,3.4
Royal Retreat,Lucknow,6671,2.9
Royal Oasis,Lucknow,12251,2.9
Palace Suites,Delhi,2226,3.7
Heights Vista,Delhi,8123,2.8
Grand Vista,Delhi,1796,3.8
Heights Gardens,Delhi,7457,3.1
Heights Oasis,Delhi,8626,2.7
Palace Gardens,Delhi,10803,4.8
Regency Inn,Delhi,13053,3.5
Palace Suites,Mumbai,12553,4.2
Plaza Lounge,Mumbai,9066,4.4
Suites Heights,Mumbai,932,2.6
Inn Lounge,Mumbai,2485,3.6
Bay Suites,Mumbai,3315,3.7
Palace Suites,Mumbai,1931,2.7
Grand Palace,Chennai,6856,3.6
Suites Retreat,Chennai,6633,2.9
Plaza Suites,Chennai,9352,3.8
Palace Residency,Chennai,10085,2.9
Royal Oasis,Chennai,3972,4.8
Regency Gardens,Chennai,9054,3.3
Grand Lounge,Chennai,11884,3.7
Plaza Heights,Kolkata,5387,3.0
Regency Residency,Kolkata,8290,3.2
Heights Gardens,Kolkata,2869,3.2
Royal Palace,Kolkata,7895,4.2
Bay Gardens,Kolkata,8357,2.7
Palace Oasis,Kolkata,6298,4.6
Royal Palace,Bengaluru,6091,3.0
Bay Oasis,Bengaluru,936,4.0
Resort Gardens,Bengaluru,6099,2.9
Plaza Lounge,Bengaluru,2857,2.7
Palace Suites,Bengaluru,3301,4.8
Plaza Vista,Bengaluru,5076,2.9
Bay Inn,Bengaluru,1853,2.6
Bay Gardens,Bengaluru,9207,3.9
Plaza Vista,Bengaluru,11757,2.7
Plaza Lounge,Hyderabad,13064,4.0
Royal Suites,Hyderabad,3721,3.5
Hotel Oasis,Hyderabad,2113,4.7
Hotel Palace,Hyderabad,2054,2.8
Palace Residency,Hyderabad,9429,4.6
Suites Retreat,Hyderabad,11462,3.6
Inn Oasis,Hyderabad,9078,4.3
Resort Palace,Hyderabad,11568,3.5
Regency Retreat,Hyderabad,14576,3.5
Palace Gardens,Pune,2355,3.8
Regency Lounge,Pune,10936,2.9
Royal Gardens,Pune,5100,4.0
Royal Residency,Pune,4874,4.3
Plaza Residency,Pune,14270,4.3
Plaza Vista,Pune,5712,4.6
Resort Inn,Pune,1511,4.1
Hotel Inn,Pune,8998,3.0
Plaza Gardens,Pune,8770,2.5
Suites Vista,Ahmedabad,3350,2.9
Regency Suites,Ahmedabad,4997,4.8
Suites Palace,Ahmedabad,9748,3.3
Inn Oasis,Ahmedabad,6434,3.8
Palace Lounge,Ahmedabad,8818,3.9
Grand Heights,Ahmedabad,3611,3.3
Suites Gardens,Ahmedabad,1610,3.2
Plaza Vista,Ahmedabad,13090,4.9
Resort Lounge,Ahmedabad,5940,3.9
Regency Oasis,Ahmedabad,9725,3.9
Inn Suites,Jaipur,10718,2.8
Resort Residency,Jaipur,6297,4.4
Palace Retreat,Jaipur,9931,3.5
Palace Oasis,Jaipur,8330,3.0
Resort Palace,Jaipur,9692,4.6
Bay Heights,Jaipur,13796,3.5
Heights Residency,Jaipur,1673,4.7
Suites Suites,Jaipur,10136,3.7
Regency Palace,Lucknow,3531,3.6
Regency Inn,Lucknow,5132,4.7
Grand Lounge,Lucknow,8909,3.2
Palace Oasis,Lucknow,12355,3.7
Palace Lounge,Lucknow,10135,2.8
Bay Gardens,Lucknow,11183,3.4
Hotel Palace,Delhi,1639,4.7
Heights Vista,Delhi,4071,5.0
Inn Gardens,Delhi,4639,4.6
Regency Suites,Delhi,2334,3.9
Plaza Gardens,Delhi,6194,4.2
Palace Retreat,Delhi,12080,4.7
Hotel Residency,Delhi,1108,2.8
Inn Vista,Mumbai,7387,4.3
Regency Residency,Mumbai,6495,3.8
Regency Retreat,Mumbai,11028,4.6
Grand Residency,Mumbai,6809,2.7
Plaza Suites,Mumbai,14661,3.8
Heights Inn,Mumbai,7286,2.9
Royal Oasis,Chennai,8727,2.8
Inn Residency,Chennai,1637,4.4
Palace Vista,Chennai,4669,3.4
Suites Residency,Chennai,8935,3.8
Royal Lounge,Chennai,10971,4.3
Bay Suites,Chennai,7074,5.0
Plaza Residency,Chennai,4731,4.9
Resort Oasis,Kolkata,6792,3.3
Plaza Inn,Kolkata,7956,4.4
Royal Oasis,Kolkata,14596,3.3
Palace Heights,Kolkata,4264,3.3
Grand Vista,Kolkata,14851,4.9
Inn Gardens,Kolkata,3910,3.6
Plaza Palace,Bengaluru,10742,3.6
Inn Retreat,Bengaluru,7881,3.2
Grand Inn,Bengaluru,4042,3.0
Bay Heights,Bengaluru,12897,3.6
Grand Inn,Bengaluru,2575,3.9
Grand Heights,Bengaluru,9436,3.8
Hotel Residency,Bengaluru,6335,3.6
Regency Gardens,Bengaluru,11825,4.2
Plaza Palace,Bengaluru,890,4.5
Palace Inn,Hyderabad,13677,4.0
Grand Inn,Hyderabad,1359,3.8
Resort Inn,Hyderabad,13620,4.8
Plaza Palace,Hyderabad,6419,4.6
Heights Inn,Hyderabad,9520,2.6
Heights Oasis,Hyderabad,2871,4.2
Bay Suites,Hyderabad,11342,3.1
Grand Oasis,Hyderabad,3461,3.5
Grand Inn,Hyderabad,3834,3.0
Heights Lounge,Pune,6378,3.3
Heights Gardens,Pune,3004,4.2
Bay Gardens,Pune,6315,2.6
Royal Vista,Pune,8592,3.9
Heights Gardens,Pune,10116,4.9
Grand Palace,Pune,3679,3.5
Hotel Heights,Pune,6519,4.4
Inn Lounge,Pune,8417,4.6
Plaza Retreat,Pune,13220,4.4
Regency Palace,Ahmedabad,4892,3.7
Plaza Suites,Ahmedabad,11306,4.8
Regency Retreat,Ahmedabad,9697,3.3
Grand Suites,Ahmedabad,8467,2.9
Resort Gardens,Ahmedabad,8580,4.9
Royal Vista,Ahmedabad,10381,2.9
Hotel Residency,Ahmedabad,13458,4.2
Grand Residency,Ahmedabad,8279,3.9
Plaza Oasis,Ahmedabad,7663,3.6
Royal Palace,Ahmedabad,9076,4.2
Hotel Inn,Jaipur,13526,3.7
Heights Heights,Jaipur,6462,4.2
Palace Lounge,Jaipur,14555,3.2
Grand Heights,Jaipur,13464,3.2
Inn Suites,Jaipur,11502,4.0
Plaza Inn,Jaipur,7976,3.0
Royal Oasis,Jaipur,4984,2.6
Palace Oasis,Jaipur,12172,3.8
Suites Palace,Lucknow,8172,3.9
Regency Vista,Lucknow,10891,5.0
Plaza Suites,Lucknow,8482,3.3
Suites Heights,Lucknow,12081,4.5
Grand Palace,Lucknow,12427,2.9
Plaza Oasis,Lucknow,11512,3.8
Heights Vista,Delhi,5390,4.3
Royal Residency,Delhi,12517,2.9
Resort Residency,Delhi,12519,4.2
Palace Residency,Delhi,2239,3.0
Grand Suites,Delhi,12891,3.9
Heights Palace,Delhi,8402,4.8
Plaza Vista,Delhi,8292,4.6
Royal Vista,Mumbai,14855,3.7
Grand Lounge,Mumbai,14227,4.8
Suites Gardens,Mumbai,4149,5.0
Resort Suites,Mumbai,9235,4.0
Grand Heights,Mumbai,14302,4.9
Regency Heights,Mumbai,6723,3.4
Heights Gardens,Chennai,13043,3.4
Grand Lounge,Chennai,13489,4.0
Regency Vista,Chennai,8918,2.6
Plaza Retreat,Chennai,5861,4.3
Hotel Retreat,Chennai,13844,4.3
Grand Lounge,Chennai,13725,3.2
Inn Oasis,Chennai,11671,4.2
Regency Retreat,Kolkata,5351,2.8
Hotel Vista,Kolkata,14245,4.9
Hotel Heights,Kolkata,10968,3.2
Grand Oasis,Kolkata,7367,3.2
Royal Heights,Kolkata,2157,3.4
Plaza Heights,Kolkata,9625,4.7
Bay Suites,Bengaluru,5542,4.2
Heights Palace,Bengaluru,11371,4.5
Suites Palace,Bengaluru,2390,2.8
Resort Vista,Bengaluru,4756,4.7
Bay Retreat,Bengaluru,14823,3.2
Suites Vista,Bengaluru,7504,3.7
Palace Heights,Bengaluru,11351,4.7
Heights Gardens,Bengaluru,11351,2.6
Plaza Vista,Bengaluru,9174,4.3
Hotel Suites,Hyderabad,13011,3.5
Regency Palace,Hyderabad,1377,3.1
Plaza Residency,Hyderabad,7479,3.0
Plaza Oasis,Hyderabad,7608,2.6
Grand Palace,Hyderabad,9000,2.6
Heights Lounge,Hyderabad,7556,4.3
Grand Heights,Hyderabad,1275,4.9
Suites Retreat,Hyderabad,3831,3.2
Bay Retreat,Hyderabad,10486,3.0
Suites Gardens,Pune,5275,2.7
Royal Suites,Pune,2015,3.4
Grand Inn,Pune,7476,4.7
Plaza Vista,Pune,4805,4.4
Royal Oasis,Pune,4011,2.9
Royal Vista,Pune,11488,3.7
Bay Lounge,Pune,13946,4.5
Resort Retreat,Pune,9636,2.9
Regency Lounge,Pune,9089,4.9
Hotel Suites,Ahmedabad,2785,4.6
Inn Lounge,Ahmedabad,1742,4.5
Royal Vista,Ahmedabad,12870,3.8
Regency Inn,Ahmedabad,9773,3.3
Palace Lounge,Ahmedabad,3960,2.9
Hotel Oasis,Ahmedabad,6025,4.1
Plaza Vista,Ahmedabad,7755,2.7
Heights Heights,Ahmedabad,9618,3.5
Palace Palace,Ahmedabad,12247,4.5
Bay Vista,Ahmedabad,5687,2.7
Regency Vista,Jaipur,6915,2.9
Inn Lounge,Jaipur,2457,4.1
Suites Suites,Jaipur,3302,4.3
Grand Oasis,Jaipur,13225,3.2
Suites Gardens,Jaipur,2275,3.0
Heights Inn,Jaipur,9575,4.2
Bay Heights,Jaipur,10627,4.3
Regency Vista,Jaipur,2891,3.3
Suites Heights,Lucknow,7255,3.8
Regency Palace,Lucknow,7694,3.7
Royal Palace,Lucknow,7484,3.1
Regency Oasis,Lucknow,4125,2.8
Hotel Palace,Lucknow,11715,3.7
Heights Heights,Lucknow,9320,3.0
Grand Palace,Delhi,12930,4.0
Bay Gardens,Delhi,13506,3.9
Bay Oasis,Delhi,5058,3.3
Royal Palace,Delhi,6320,4.9
Palace Suites,Delhi,1966,3.2
Bay Residency,Delhi,13086,4.2
Palace Residency,Delhi,9072,3.9
Regency Oasis,Mumbai,5026,3.2
Plaza Residency,Mumbai,4067,2.5
Grand Heights,Mumbai,9387,3.3
Hotel Vista,Mumbai,9989,4.5
Royal Gardens,Mumbai,1607,3.2
Palace Inn,Mumbai,1134,3.7
Suites Inn,Chennai,8983,2.7
Hotel Gardens,Chennai,10670,4.0
Heights Gardens,Chennai,904,2.9
Palace Suites,Chennai,9535,4.6
Royal Heights,Chennai,6015,2.5
